price,area,Bedrooms,Bathrooms,Balcony,Status,Furnished_status,Price_sqft
5600000,1350,3,3,2,0,1,4148
8800000,1490,3,3,2,1,1,5906
16500000,2385,4,5,2,1,0,6918
3810000,1050,2,2,3,1,0,3628
6200000,1350,2,2,3,1,1,4592
3700000,1150,2,2,3,1,1,3217
3270000,890,2,2,3,1,1,3674
3990000,850,2,2,1,1,1,4694
3500000,960,2,2,2,1,1,3645
5500000,1400,3,3,4,1,1,3928
7300000,850,3,2,1,1,1,8588
7700000,1250,2,2,2,1,1,6160
10500000,1615,3,3,3,1,0,6501
7200000,1200,2,2,3,1,1,6000
7000000,1690,3,3,2,1,1,4142
9500000,1000,3,2,1,1,1,9500
15000000,1450,4,3,1,1,1,10344
4800000,1175,2,2,2,1,1,4085
5100000,1087,2,2,2,1,1,4691
14000000,1845,3,3,3,1,1,7588
6250000,1400,2,2,2,1,1,4464
8700000,1600,3,2,1,1,0,5437
13000000,1950,3,3,2,1,1,6666
15000000,1800,2,3,1,1,1,8333
5500000,1440,3,2,5,1,1,3819
4200000,1040,2,2,3,1,1,4038
3900000,1025,2,2,3,1,1,3804
10000000,1836,3,2,2,1,1,5446
7600000,1350,3,2,4,1,1,5629
3900000,800,2,2,1,1,1,4875
9000000,1481,2,2,2,1,0,6076
8350000,1398,2,2,2,1,1,5972
13500000,2150,3,3,4,1,1,6279
5310000,1100,3,2,2,1,0,4827
15000000,1960,3,3,2,1,1,7653
17500000,2450,3,3,3,1,1,7142
5000000,1000,2,2,3,1,1,5000
3500000,850,2,2,1,1,0,4117
4550000,950,3,2,1,1,1,4789
4000000,700,2,2,2,1,0,5714
3500000,750,2,2,2,1,1,4666
3500000,950,2,2,1,1,1,3684
2400000,540,2,2,1,1,1,4444
80000000,5571,5,5,3,1,1,14360
9500000,1200,2,2,2,1,1,7916
10500000,1020,2,2,2,1,1,10294
7500000,1505,2,2,2,1,1,4983
4800000,1232,6,3,2,1,0,3896
5600000,929,2,2,1,1,1,6027
8500000,1350,3,3,2,1,1,6296
4700000,1085,2,2,2,1,1,4331
8500000,1790,3,3,2,1,1,4748
10000000,1689,3,3,4,1,1,5920
18000000,2411,3,3,3,1,1,7465
12400000,1650,3,2,2,1,1,7515
7700000,1685,3,4,4,1,0,4569
6000000,1050,2,2,2,1,1,5714
12500000,1300,2,2,2,1,1,9615
6380000,1170,3,2,1,1,1,5452
7400000,1275,2,2,2,1,1,5803
8400000,1890,3,3,4,1,1,4444
6400000,1455,3,2,3,1,1,4398
19000000,1768,3,2,2,1,1,10746
4300000,1295,2,2,4,1,1,3320
23800000,3500,4,5,3,1,1,6800
10500000,1850,3,4,2,1,1,5675
10800000,1966,2,2,1,1,1,5493
5500000,1350,2,2,2,1,0,4074
4320000,1040,2,2,3,1,1,4153
3000000,800,2,2,1,1,1,3750
3500000,950,2,2,3,1,1,3684
16000000,2000,4,4,3,1,1,8000
3000000,900,2,2,3,1,1,3333
3300000,960,2,2,1,1,1,3437
8200000,1371,2,2,3,1,1,5981
6000000,1750,3,3,1,1,1,3428
4100000,1299,3,2,4,1,1,3156
5200000,1365,3,2,3,1,0,3809
21000000,2800,4,5,4,1,0,7500
2650000,835,2,2,2,1,0,3173
10000000,1000,2,2,2,1,0,10000
4500000,1000,3,2,1,1,1,4500
6900000,1260,2,2,3,1,0,5476
13500000,2425,4,4,2,1,1,5567
4500000,1198,3,2,1,1,0,3756
32500000,3000,3,3,2,1,1,10833
11000000,1743,3,3,2,1,1,6310
3200000,650,2,2,1,1,0,4923
3200000,815,2,2,2,1,1,3926
3400000,1050,2,2,2,1,0,3238
11100000,2100,4,3,2,1,0,5285
3500000,900,2,2,1,1,0,3888
12500000,1836,3,3,3,1,1,6808
8500000,1495,3,2,2,1,1,5685
4200000,1040,2,2,2,1,1,4038
